;SICA 1;EPSG:3116_X;EPSG:3116_Y;EPSG:4326_X;EPSG:4326_Y
267;6657200967;786404.5897;1075969.386;-76.00403099;5.280203891
268;6657200897;787466.5476;1075394.67;-75.99444035;5.27503934
269;6657200470;782705.8612;1076743.429;-76.03740056;5.28709501
270;6657201087;783646.0035;1076039.3;-76.02890432;5.280758076
271;6657201100;781210.3085;1076218.026;-76.05086932;5.2823039
272;6657201158;781317.4476;1072337.362;-76.04979282;5.247235325
273;6657200889;786602.6336;1075670.525;-76.00223709;5.277508386
274;6657201137;784236.6716;1074757.798;-76.02354281;5.269192991
275;6657201165;784046.1717;1074739.413;-76.02525979;5.269021459
276;6659404436;819320.7083;1083690.399;-75.7074164;5.35084596
277;6659401055;819669.6505;1083969.313;-75.70427611;5.353375491
278;6659405607;816105.4763;1079770.723;-75.73631771;5.315337829
279;6659403382;814454.3442;1080770.523;-75.7512318;5.324334832
280;6659408768;814842.5242;1081679.957;-75.74775342;5.33256475
281;6659402350;816770.3836;1080016.488;-75.73032757;5.317575425
282;6659403875;816211.4435;1080461.937;-75.73537884;5.321588353
283;6659400394;812792.8331;1081606.845;-75.7662358;5.331853408
284;6659403433;815204.3247;1080640.995;-75.74446535;5.323182365
285;6659400595;816172.8646;1081824.669;-75.73575977;5.333905287
286;6659401085;818993.8781;1084410.451;-75.7103812;5.357346813
287;6659405957;816697.3281;1080034.401;-75.73098682;5.317735576
288;6659405357;820738.871;1081041.178;-75.69456385;5.326932783
289;6659400292;813954.1536;1082058.627;-75.7557741;5.335965737
290;6659403477;813363.0375;1079631.821;-75.76104514;5.314015297
291;6659403440;814180.9614;1079345.784;-75.7536623;5.311449883
292;6659403668;812940.5452;1082248.177;-75.76491958;5.33765404
293;6659401143;818695.2889;1083766.947;-75.7130586;5.351522865
294;6659403648;813336.9889;1082335.01;-75.76134656;5.338448732
295;6659401496;819556.545;1081230.551;-75.70523083;5.328616469
296;6659402693;819551.507;1079031.624;-75.70522403;5.308739717
297;6659402514;818545.1702;1080584.869;-75.71433616;5.322755827
298;6659406387;819048.506;1078976.618;-75.70975874;5.308230534
299;6659401195;818519.1536;1082894.398;-75.71462611;5.343631486
300;6659401526;819477.9374;1080505.964;-75.70592249;5.32206488
301;6659408706;812587.2294;1082145.1;-75.76810325;5.336713572
302;6659402522;818618.5875;1080476.75;-75.7136715;5.321780277
303;6659400468;817577.224;1084099.474;-75.7231499;5.354501629
304;6659403391;814599.2462;1081360.074;-75.74993949;5.329667354
305;6659400501;817632.4786;1083166.101;-75.72262904;5.346066067
306;6659402483;819027.62;1079144.177;-75.70995108;5.30974464
307;6659402085;816385.8646;1079830.854;-75.73379065;5.315888154
308;6668200096;825793.8702;1038645.733;-75.6480378;4.943815311
309;6668200226;825844.8834;1034898.896;-75.64749852;4.909946465
310;6668200827;831204.1986;1033198.824;-75.59916176;4.894690021
311;6668200728;830304.2744;1036200.397;-75.60733423;4.921805108
312;6668200059;827316.1566;1038944.653;-75.63432361;4.946549819
313;6668200327;825412.4127;1037474.341;-75.65145093;4.933218255
314;6668201546;821407.6144;1036531.486;-75.68752496;4.924608861
315;6668201553;822053.2003;1034324.767;-75.6816588;4.904675367
316;6668200070;828225.7122;1040291.412;-75.62615395;4.958743325
317;6668200505;830761.3778;1032771.549;-75.60314398;4.890818452
318;6668200864;833460.3033;1033698.291;-75.57883834;4.899251074
319;6668200163;820011.6395;1038525.954;-75.70015012;4.942607034
320;6668201983;821812.7047;1032867.322;-75.68379479;4.891495649
321;6668200375;825844.1936;1036505.511;-75.64753876;4.924469624
322;6668200581;827019.3563;1034184.009;-75.63689843;4.903508952
323;6668202086;832683.5379;1032408.619;-75.58581302;4.88757684
324;6668200315;824028.076;1035875.644;-75.66389352;4.918737089
325;6668200232;823052.6154;1037110.656;-75.6727116;4.929879981
326;6668202049;827620.9778;1021590.176;-75.63121615;4.789677124
327;6668201355;833159.7619;1038104.683;-75.58163647;4.939078289
328;6668201356;833041.4662;1038149.619;-75.58270361;4.939482087
329;6668200651;829792.5753;1033874.226;-75.61189806;4.900766454
330;6668201550;821866.43;1036767.979;-75.68339495;4.926756622
331;6668201997;820919.6588;1035972.715;-75.69191054;4.919547242
332;6668200104;826279.6332;1039911.563;-75.6436865;4.955268292
333;6668700058;786248.4335;1054360.521;-76.00484669;5.084902867
334;6668701801;790004.0091;1050325.156;-75.97089013;5.04853152
335;6668700923;791905.0331;1045518.377;-75.95363186;5.005137044
336;6668700947;793351.5944;1048591.136;-75.94067358;5.03294645
337;6668701635;792235.5077;1047250.492;-75.95069809;5.020800666
338;6668701555;786339.5149;1053378.467;-76.00399938;5.076029678
339;6668700592;791275.8545;1051286.472;-75.95945209;5.057253311
340;6668701258;786291.3844;1051924.818;-76.00439424;5.062890538
341;6668700030;787447.2254;1055162.219;-75.99406306;5.092180748
342;6668701219;786815.393;1053692.635;-75.99971862;5.07888187
343;6668701224;786505.8047;1053258.701;-76.00249737;5.074951722
344;6668700714;786540.5787;1049982.677;-76.00209644;5.045344433
345;6668700713;786050.2262;1049219.059;-76.00649548;5.038429868
346;6668700374;787813.4656;1052973.022;-75.99070359;5.072404811
