,SICA,EPSG:3116_X,EPSG:3116_Y,EPSG:4326_X,EPSG:4326_Y,Category
330,6668201550,821866.43,1036767.979,-75.6833949486,4.92675662182,3
331,6668201997,820919.6588,1035972.715,-75.6919105388,4.9195472415,4
332,6668200104,826279.6332,1039911.563,-75.6436865,4.95526829217,4
333,6668700058,786248.4335,1054360.521,-76.0048466886,5.08490286719,3
334,6668701801,790004.0091,1050325.156,-75.9708901277,5.04853152044,4
335,6668700923,791905.0331,1045518.377,-75.9536318621,5.00513704376,4
336,6668700947,793351.5944,1048591.136,-75.9406735769,5.03294644963,4
337,6668701635,792235.5077,1047250.492,-75.9506980887,5.0208006657,4
338,6668701555,786339.5149,1053378.467,-76.003999381,5.07602967753,4
339,6668700592,791275.8545,1051286.472,-75.9594520867,5.05725331051,4
340,6668701258,786291.3844,1051924.818,-76.0043942385,5.06289053821,4
341,6668700030,787447.2254,1055162.219,-75.9940630616,5.09218074832,3
342,6668701219,786815.393,1053692.635,-75.9997186236,5.07888186991,3
343,6668701224,786505.8047,1053258.701,-76.0024973749,5.07495172178,4
344,6668700714,786540.5787,1049982.677,-76.0020964369,5.04534443271,4
345,6668700713,786050.2262,1049219.059,-76.0064954796,5.03842986766,4
346,6668700374,787813.4656,1052973.022,-75.9907035864,5.072404811,4
347,6668701706,789416.5433,1048982.244,-75.9761496528,5.03637882024,4
348,6668700330,787651.0612,1053654.77,-75.992185538,5.07856204578,4
349,6668701637,792420.4335,1047768.704,-75.9490447749,5.02548912155,4
350,6608803727,799388.1224,1067434.772,-75.8867447774,5.20341686414,4
351,6608801622,803632.6307,1067794.939,-75.8484868988,5.20678101126,2
352,6608801616,803842.6798,1068696.775,-75.8466159479,5.21493767672,2
353,6608803882,799475.8964,1068022.972,-75.8859686392,5.20873553093,3
354,6608800778,799033.0445,1069901.298,-75.8900099526,5.22570108711,3
355,6608800531,798338.1731,1066722.441,-75.8961921414,5.19695130053,4
356,6608803350,799304.9082,1068074.947,-75.8875115494,5.20920087012,3
357,6608801983,805820.3325,1068188.67,-75.8287727898,5.21039500119,4
358,6608803248,798247.5912,1065122.503,-75.8969673282,5.18248812598,4
359,6604500277,796726.5508,1061025.644,-75.9105733723,5.14541988678,3
360,6608800853,800183.4166,1069415.81,-75.8796257993,5.22134291509,4
361,6604501491,796684.9018,1061216.274,-75.910953756,5.14714177807,3
362,6608801247,798680.4653,1066080.75,-75.8930896324,5.19116034365,3
363,6608801703,804391.1512,1066845.218,-75.8416243126,5.19821603154,4
364,6608803223,798283.6108,1066012.037,-75.8966656289,5.19052899292,4
365,6608800176,798900.6754,1070823.997,-75.8912273844,5.23403734176,3
366,6608800799,800275.0933,1070669.537,-75.8788316421,5.23267702691,4
367,6608800488,797524.1362,1065631.702,-75.9035026346,5.18707163879,3
368,6608802114,804055.488,1064119.442,-75.8445820206,5.17357029442,4
369,6608800959,802194.3584,1067683.154,-75.8614511627,5.20573402793,4
370,6608800491,797483.3589,1065818.118,-75.9038750971,5.18875546535,3
371,6608802477,798988.2974,1069752.646,-75.8904095227,5.22435634725,4
372,6608800184,798686.578,1072157.935,-75.8931924976,5.24608837014,4
373,6608801629,803907.1461,1067493.388,-75.8460043085,5.20406236634,4
374,6608804126,796985.0469,1065333.87,-75.9083548868,5.18436567969,4
375,6608801218,798397.1543,1064488.645,-75.8956026106,5.17676295897,4
376,6608803986,804437.9244,1074733.555,-75.841402408,5.26951694081,4
377,6608800593,797062.799,1064779.178,-75.9076395068,5.17935423056,4
378,6608800899,801525.2226,1069579.201,-75.8675324379,5.22285433379,3
379,6608800200,798886.5207,1070260.347,-75.8913403289,5.22894249001,2
380,6608804047,799705.5573,1069239.884,-75.8839295464,5.21974044058,3
381,6608803247,798102.4454,1065320.908,-75.8982809834,5.18427761565,3
382,6608800488,797524.1362,1065631.702,-75.9035026346,5.18707163879,4
383,6608803307,803680.7744,1066151.421,-75.8480113381,5.19192712514,4
384,6608800673,796517.0989,1062720.281,-75.9125054573,5.16073107808,4
